trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,feedback_time,baseline,window0,window1,window2,window3,window4
16,PLR121,anticipated_w,pre,1002,4810,10,1,6337,2928.1606,34.686,191.6608,342.0537,328.5936,289.0695
17,PLR121,anticipated_b,pre,1002,4810,5,1,6338,2882.8845,-23.2878,-24.1324,-20.2458,215.4265,155.933
18,PLR121,anticipated_b,pre,1002,4810,6,0,NaN,2733.6693,25.7103,123.448,-46.0202,74.8013,128.7116
19,PLR121,unexpected_b,pre,1003,4812,3,0,NaN,2150.9406,87.9111,198.1863,347.1434,501.5069,436.8134
20,PLR121,anticipated_b,pre,1003,4810,7,1,6338,2424.4821,119.77,429.5957,581.9864,693.6944,761.5259
21,PLR121,anticipated_b,pre,1002,4810,8,0,NaN,2842.8725,-44.6393,87.5792,247.9804,115.1716,148.5402
22,PLR121,anticipated_w,post,1002,4810,11,0,NaN,2547.397,-36.6659,84.2669,326.4665,305.5274,240.6665
23,PLR121,unexpected_w,pre,1002,4810,4,0,NaN,2703.5219,152.7869,491.8657,645.831,701.0684,740.2321
24,PLR121,anticipated_b,pre,1003,4810,9,1,6336,2521.6056,109.1486,320.5625,411.2348,318.8461,372.3309
25,PLR121,anticipated_w,post,1002,4808,12,0,NaN,2424.0447,87.9553,331.7515,626.1885,668.638,762.9791
26,PLR121,anticipated_w,post,1003,4812,13,0,NaN,2700.494,37.5039,145.4871,266.714,195.1194,143.1568
27,PLR121,anticipated_b,pre,1003,4812,10,0,NaN,2663.1952,6.4644,273.0947,454.5737,390.372,368.5746
28,PLR121,anticipated_b,post,1002,4810,11,0,NaN,2582.0279,-60.2527,162.8796,304.1716,163.6191,-47.7184
29,PLR121,anticipated_w,post,1002,4812,14,0,NaN,2579.8566,140.1518,161.114,89.0993,204.1686,288.8022
30,PLR121,anticipated_w,post,1002,4808,15,0,NaN,2610.5182,-132.117,169.6709,559.9944,855.6436,899.204
31,PLR121,unexpected_b,pre,1003,4812,5,0,NaN,2740.6414,79.9508,163.4874,6.1224,261.7559,345.057
32,PLR121,unexpected_w,pre,1003,4810,6,0,NaN,2754.4363,11.3456,-52.3124,78.736,38.3461,14.5801
33,PLR121,unexpected_w,pre,1002,4810,7,0,NaN,2093.2826,-73.0473,139.5284,400.2421,336.896,192.0666
34,PLR121,anticipated_b,post,1002,4810,12,1,6338,2060.7291,-118.7921,303.3901,602.8898,751.3781,756.5566
35,PLR121,anticipated_w,post,1003,4810,16,0,NaN,2220.3147,246.4605,403.1727,359.7105,572.7546,689.2567
36,PLR121,unexpected_b,pre,1002,4808,8,0,NaN,2630.498,74.6443,121.865,71.7646,158.316,118.0972
37,PLR121,unexpected_w,pre,1003,4810,9,0,NaN,2800.004,64.1221,111.6545,-14.6321,36.1221,-35.6627
38,PLR121,unexpected_b,pre,1003,4812,10,0,NaN,2634.1594,155.4394,472.0137,485.4423,214.6621,168.7295
39,PLR121,anticipated_b,post,1003,4810,13,0,NaN,2576.243,165.2748,295.5553,388.7771,277.9301,115.8046
40,PLR121,unexpected_b,post,1003,4810,11,0,NaN,2694.9875,159.0529,280.6025,193.2527,141.2921,171.9252
41,PLR121,anticipated_w,post,1003,4808,17,0,NaN,2366.2789,110.3913,263.0699,452.4186,580.8514,591.5465
42,PLR121,anticipated_w,post,1003,4812,18,1,6420,2607.0239,118.8395,204.8017,430.0601,470.5958,452.2697
