trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4
39,PLR124,anticipated_b,post,1003,4812,16,0,1164.292,-251.1554,-224.8424,24.9265,241.7479
40,PLR124,anticipated_b,post,1002,4810,17,0,1571.858,-168.9063,-593.4777,-752.7929,-573.6164
41,PLR124,anticipated_w,post,1002,4808,11,0,1523.19,-93.9463,-533.3581,-589.274,-413.856
42,PLR124,unexpected_b,post,1003,4810,14,0,1011.766,258.1269,372.4021,151.0113,69.6731
43,PLR124,anticipated_w,post,1002,4810,12,0,1149.522,-266.1438,-210.0409,-14.7657,109.2028
44,PLR124,anticipated_w,post,1002,4812,13,0,1004.602,106.7888,210.0892,230.4064,134.3539
45,PLR124,anticipated_b,post,1003,4810,18,0,1018.63,181.0864,190.2187,67.5465,-85.3632
46,PLR124,anticipated_w,post,1002,4810,14,0,1494.948,-290.5867,-514.0236,-477.7673,-182.4291
47,PLR124,unexpected_w,post,1002,4808,15,0,943.684,296.2383,377.1668,276.045,46.2719
48,PLR124,anticipated_w,post,1003,4810,15,0,1252.372,99.6511,148.2918,190.7982,353.5818
49,PLR124,anticipated_w,post,1002,4810,16,0,1078.936,223.0409,299.1795,309.8686,371.8035
50,PLR124,anticipated_b,post,1003,4812,19,0,1327.47,30.4039,184.0027,66.4859,225.5699
51,PLR124,anticipated_b,post,1003,4812,20,0,1712.766,133.4672,344.3685,337.4294,154.5323
52,PLR124,unexpected_b,post,1003,4810,16,0,1840.822,78.6272,-125.8409,1.5877,48.2956
53,PLR124,unexpected_w,post,1003,4810,17,0,1624.79,82.1239,35.9915,21.7478,143.1029
54,PLR124,unexpected_b,post,1002,4812,18,0,1565.81,130.8203,-209.9213,-417.3541,-238.8247
55,PLR124,unexpected_w,post,1002,4810,19,0,1868.106,-48.1774,-163.7363,-75.7278,-48.1291
56,PLR124,anticipated_w,post,1002,4810,17,0,1808.818,22.9677,24.6043,124.1022,165.1043
57,PLR124,anticipated_w,post,1003,4810,18,0,1515.816,40.7302,209.6672,333.0979,347.5159
58,PLR124,unexpected_b,post,1003,4808,20,0,1508.176,189.3681,145.7694,-3.697,162.8177
59,PLR124,anticipated_w,post,1003,4810,19,0,1277.902,229.3354,405.9215,327.1232,464.4825
60,PLR124,anticipated_w,post,1003,4812,20,0,1394.898,326.497,446.4823,575.5936,598.6251
