trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window0,window380,window760,window1140,window1520,window1900,window2280,window2660,window3040,window3420,window3800,window4180,window4560,window4940,window5320,window5700,window6080,window6460,window6840,window7220
43,PLR138,anticipated_w,1,post,3rd,1003,4812,15,0,2724.0181,62.2858,-55.3313,-97.3107,-98.022,-108.208,-121.8791,-227.3096,-202.2673,-163.2633,-261.9623,-442.1891,-1377.3866,-1434.256,-1428.6737,-1348.4955,-988.642,-641.999,-401.7976,-274.014,-217.4918
44,PLR138,anticipated_w,1,post,4th,1003,4810,16,0,2179.5827,29.6657,-20.8321,-76.162,64.7136,106.2649,95.8135,82.4121,134.7717,21.1176,-42.7895,-139.3617,-795.3304,-858.3884,-863.4591,-819.8572,-583.7737,-362.1149,-162.9846,9.3168,150.4894
45,PLR138,unexpected_w,1,post,3rd,1003,4812,15,0,2379.7247,0.15085,1.823,-61.2799,-26.1409,-52.444,-48.9184,-86.4727,-87.0888,-3.1992,7.8103,-236.8693,-1126.1915,-1142.0705,-1076.3166,-977.4676,-788.7012,-601.9085,-440.2865,-327.1994,-242.8949
46,PLR138,unexpected_b,0,post,4th,1003,4810,16,1,2057.2431,69.3424,-67.8045,-53.7874,-42.4616,-24.7224,73.5414,102.8624,97.9248,79.3617,-22.4492,42.8282,440.8135,932.2586,1470.8011,1580.5206,302.3136,28.6217,66.9518,173.3497,230.3084
47,PLR138,anticipated_w,1,post,4th,1002,4810,17,1,2375.9044,11.751,-18.084,163.3521,200.7859,249.2595,433.2807,456.3091,433.312,425.9746,309.222,37.2063,-922.5019,-1052.6829,-1053.638,-1021.943,-761.0613,-323.4273,-62.9346,-57.0793,-55.813
48,PLR138,unexpected_b,0,post,4th,1003,4812,17,1,2723.3844,25.4929,-23.195,-26.1951,-138.3664,-99.2162,35.4594,86.332,98.8894,-100.8173,-229.3116,-212.3682,115.9916,610.292,1100.1501,1131.5166,-366.7798,-640.2059,-498.9745,-468.2159,-407.3437
49,PLR138,anticipated_b,0,post,3rd,1002,4810,15,0,2195.2102,26.9322,-29.8034,58.7634,-60.3654,26.4997,88.5864,104.0816,153.5719,194.8689,222.6851,156.5588,452.8411,859.8725,1290.7219,1233.7032,217.9031,-59.5304,-120.1623,-96.8486,-177.5719
50,PLR138,anticipated_b,0,post,4th,1003,4810,16,0,3327.5657,64.0275,-51.9857,-46.5887,-20.1546,-155.3371,-214.0379,-351.6168,-360.8009,-361.3089,-472.8243,-568.3343,-395.1475,-51.771,414.7107,738.8011,1.7309,-1064.3371,-879.2534,-709.6967,-639.431
51,PLR138,anticipated_b,0,post,4th,1002,4810,17,0,2660.7715,48.7013,-48.6826,-9.1333,43.9333,-36.4311,-112.4169,-130.1278,-118.7451,-44.7786,103.7335,237.5147,538.1273,994.683,1536.2751,1555.4512,68.3706,-253.2009,-264.1079,-210.9195,-193.7092
52,PLR138,anticipated_w,1,post,4th,1002,4812,18,0,2440.1543,-2.6219,0.62951,59.5938,-8.5108,-147.2914,-276.5951,-87.1614,162.2755,403.9055,874.2505,44.9413,-927.767,-1040.6979,-1034.8684,-951.5357,-622.5549,-194.0061,67.6467,49.206,58.8457
53,PLR138,anticipated_b,0,post,4th,1756,5564,18,0,3461.7142,-557.2636,-940.4516,-915.1238,-848.3056,-739.7133,-402.5919,-372.6292,-510.1872,-551.4097,-669.1049,-727.3315,-467.8718,58.6458,629.6414,386.8103,-964.4935,-1189.638,-915.6528,-516.0766,-503.0414
54,PLR138,unexpected_b,0,post,4th,1003,4812,18,0,3484.0602,-8.0438,1.579,174.1696,226.0715,175.187,98.8875,-221.8225,-358.5702,-166.4809,-79.6958,20.4783,251.6199,739.8862,1105.7384,1076.5561,-351.3182,-510.7689,-422.0961,-268.1531,-101.8915
55,PLR138,anticipated_w,1,post,4th,1002,4810,19,0,3034.381,14.0693,-19.9886,116.9423,100.7276,193.5957,229.8104,295.1669,129.5635,98.2432,146.8928,-87.7507,-1381.796,-1595.8209,-1641.4228,-1473.4002,-1014.0214,-623.572,-500.8151,-231.9973,25.7701
56,PLR138,anticipated_b,0,post,4th,1003,4810,19,0,3556.3293,-49.0505,44.0009,135.5005,216.9083,287.8189,347.8268,396.5265,433.5126,458.3796,469.5887,27.1577,-271.2225,-401.2958,-508.7656,-530.7832,-15.0178,352.0442,649.8789,583.2756,-884.3234
57,PLR138,anticipated_w,1,post,4th,1002,4810,20,0,2626.8442,24.9055,-23.8355,-49.1918,-58.5433,110.75,498.3177,-48.5812,-229.1072,-232.4831,-128.8752,-72.0892,-956.6358,-1226.4817,-1124.8863,-1118.8341,-1002.6764,-706.6957,-542.0866,-400.2633,-242.1653
58,PLR138,anticipated_b,0,post,4th,1003,4812,20,1,2472.7444,-49.768,49.315,30.4027,-43.6199,-46.1996,-60.4078,5.9098,179.2268,298.8863,335.3349,310.872,433.0311,977.9834,1478.8376,1506.2567,128.1048,-157.2332,4.1159,212.0623,129.0933
59,PLR138,unexpected_w,1,post,4th,1002,4810,19,0,1986.1276,-88.092,79.8732,269.1433,396.7985,439.2097,604.8926,625.2409,567.9315,623.7073,621.5138,383.4,-642.1248,-717.4012,-702.1711,-644.4969,-275.1558,106.5255,182.3678,340.7946,355.0844
