trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4,window5,window6,window7,window8,window9,window10,window11,window12,window13,window14,window15,window16,window17,window18,window19,window20
27,PLR132,unexpected_w,1,pre,2nd,1002,4808,9,0,2867.9435,3359.3246,3602.6551,3762.7931,3801.0838,3716.6126,3942.8325,4100.1937,4229.2775,4303.7277,4296.2408,4055.1728,1801.3403,1333.8168,1271.2199,1496.5219,2149.7499,2741.414,2995.7696,3142.3298,3241.5707
28,PLR132,anticipated_w,1,post,3rd,1003,4812,11,0,2986.368,3089.822,3254.3089,3520.199,3729.4346,3905.9895,4079.5916,4180.2042,4148.0995,4142.7435,4159.6806,3931.9948,1810.0157,1390.2251,1416.1466,1518.199,2099.8586,2661.0942,3074.7042,3203.6806,3337.2199
29,PLR132,unexpected_b,0,pre,2nd,1003,4812,10,0,3721.396,3815.5864,3705.3097,3866.7872,4078.9476,3891.267,3886.7068,4052.0838,3679.8848,3839.3351,4002.0419,4064.1937,3999.199,4258.2565,4621.0838,4639.1204,2930.3403,1907.1466,1497.1832,1312.3508,1418.0733
30,PLR132,anticipated_b,0,pre,2nd,1003,4812,9,0,2849.478,2808.6649,3091.0733,3365.1571,3514.8953,3629.0052,3693.7958,3774.4293,3666.3455,3783.8377,3981.9895,4108.8743,4225,4430.9791,4716.4031,4673.4555,2967.8429,2180.5864,2248.733,2942.8429,3379.821
31,PLR132,unexpected_b,0,post,3rd,1003,4812,11,0,3643.5042,3891.3246,3859.3194,4049.2827,4216.0262,4027.3979,4119.9843,3994.8482,4091.9162,4270.1675,4300.5812,4291.2461,4200.7853,4396.9476,4704.6387,4695.822,2780.0105,1838.9738,1496.466,1462.2435,1559.5861
32,PLR132,unexpected_b,0,post,3rd,1002,4808,12,0,2396.664,2959.555,3091.6492,3318.8534,3446.9005,3508.2932,3507.0838,3606.5393,3666.9791,3617.0785,3706.1937,3825.3665,3844.8901,4098.6545,4463.4346,4585.2304,3174.2827,2963.623,3155.8564,3390.5071,3268.9379
33,PLR132,anticipated_b,0,pre,2nd,1003,4810,10,0,3756.392,3930.5916,3884.9948,3971.2461,4144.3009,4317.5445,4416.2932,4380.0838,4428.2984,4592.534,4547.712,4604.7539,4685.4607,4851.1257,5111,5067.7173,3426.164,2857.3031,3167.3304,3635.3366,3445.712
34,PLR132,anticipated_w,1,post,3rd,1003,4812,12,0,4003.98,4219.8848,4181.7592,4286.445,4393.0916,4513.3246,4551.8848,4611.8325,4475.0419,4574.3141,4706.9058,4227.1204,1945.1675,1315.555,1126.3508,976.4712,1297.034,1880.1462,2344.0608,2751.0121,2955.9005
35,PLR132,anticipated_w,1,post,3rd,1003,4812,13,1,3136.818,3161.178,3378.2356,3688.377,3902.1885,3889.2827,3965.6545,4011.911,4145.3037,4143.822,3804.4241,3719.8639,1703.267,1227.8639,1197.5969,1182.7435,1695.0276,2369.4947,2838.2147,3174.9843,3416.8639
36,PLR132,anticipated_w,1,post,3rd,1003,4812,14,0,3486.815,3395.7906,3507.1309,3750.534,4021.911,4073.0733,4023.2827,4038.1518,4215.3037,4214.9319,3967.7696,3756.7644,1758.0524,1426.2513,1912.8429,1643.9267,1647.4031,2337.4817,2927.6194,3231.2191,3374.5822
37,PLR132,anticipated_b,0,post,3rd,1002,4810,11,0,3763.786,3747.3579,3776.5428,3925.9005,4093.9895,4234.5288,4109.9738,3914.3613,4035.4188,3765.6387,3886.4136,4051.0471,4185.2094,4474.801,4876.356,4860.3613,3104.5759,2247.0052,1809.2251,1835.7382,2484.445
38,PLR132,unexpected_w,1,post,3rd,1002,4808,13,0,3491.654,3746.2694,3825.1832,3899.0209,4046.2513,3963.8691,4176.7906,4228.7958,4207.445,4350.7173,4401.5969,3892.2827,1729.2565,1248.377,1283.6178,1391.1832,1926.8726,2529.6022,2959.7068,3127.4738,3346.0292
39,PLR132,anticipated_b,0,post,3rd,1002,4810,12,0,3010.3326,2911.1937,3117.9578,3472.9953,3792.1964,3942.356,4082.6921,4182.6159,4302.0628,4351.0785,4298.5654,4292,4301.8639,4565.5026,4838.7068,4773.1152,3351.6021,2575.7068,2435.8743,2697.6649,2768.9738
40,PLR132,unexpected_w,1,post,3rd,1003,4812,14,0,3740.636,3965.5079,3854.4559,3855.4693,3952.3037,3477.5236,2909.8482,2829.6754,2708.6492,3112.0419,3468.0209,3438.1518,1585.5812,1243.2356,1254.2513,1170.6911,1641.9397,2287.3793,2667.8272,2966.8429,3155.8586
