trialNumber,subid,condition,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4,window5,window6,window7,window8,window9,window10,window11,window12,window13,window14,window15,window16,window17,window18,window19,window20
45,PLR120,unexpected_w,post,3rd,1003,4810,15,0,1738.7224,87.6807,217.4399,293.7593,355.8378,320.7394,207.6572,162.8345,167.6964,127.1101,49.3142,-63.7067,-661.0679,-838.6544,-795.7121,-727.8376,-615.2978,-395.2437,-217.5914,-116.9789,-86.958
46,PLR120,anticipated_b,post,3rd,1002,4812,13,1,1807.632,8.5722,127.5251,192.7627,325.3115,381.9213,409.8205,401.9387,378.9073,470.6821,511.0643,609.923,712.9546,886.3989,1064.5152,1041.492,2.8389,-331.1713,-159.2027,-42.512,33.007
47,PLR120,anticipated_b,post,3rd,1003,4812,14,1,2102.622,30.5194,68.9487,16.8416,5.2948,-60.0402,-4.6534,73.0429,194.0167,263.2785,290.8754,255.8492,384.106,533.2466,709.7678,689.7739,-301.0386,-643.8447,-506.1704,-402.5487,-344.8828
48,PLR120,unexpected_b,post,4th,1003,4810,16,0,2173.653,62.5384,1.3371,-42.276,46.1675,36.7292,22.8477,26.3576,39.436,58.7868,99.7972,105.8025,152.5931,252.396,450.5032,572.6402,-450.6379,-885.6579,-839.4384,-714.2603,-652.5117
49,PLR120,anticipated_b,post,3rd,1002,4808,15,0,1818.526,35.3326,149.4374,274.5029,334.9703,278.1107,294.2855,207.5264,217.0394,214.097,241.4845,356.8876,425.6994,640.124,893.719,928.2408,32.6388,-373.3218,-342.8192,-212.4702,-99.4548
50,PLR120,anticipated_b,post,4th,1003,4812,16,0,2012.1424,60.3654,127.3288,146.6063,217.7372,188.3811,227.7372,342.7162,311.3746,312.688,287.7529,391.1403,475.5702,659.2677,890.1623,890.1822,-87.1263,-512.4251,-422.6726,-270.1567,-211.2396
51,PLR120,unexpected_w,post,4th,1002,4810,17,0,1853.3266,73.0766,106.3588,79.4601,138.3969,21.198,36.8709,134.8382,215.2912,279.41,253.9131,254.9666,-504.0352,-757.7075,-724.9653,-783.0805,-754.5213,-513.4824,-374.5203,-227.2639,-109.0852
52,PLR120,anticipated_b,post,4th,1003,4812,17,1,1933.6081,101.3864,77.0883,77.0336,150.5173,245.9626,242.015,303.8202,397.1097,377.4757,396.6118,464.4862,501.638,641.6473,840.6956,851.9714,-172.2701,-484.6501,-305.9533,-142.7141,1.3046
53,PLR120,unexpected_b,post,4th,1002,4810,18,0,2330.7288,41.4925,4.9678,-69.1415,-153.636,-173.8417,-115.8526,-28.4598,70.0566,85.8995,136.4335,183.0984,255.7267,404.0493,574.4483,564.2014,-422.7864,-833.7393,-764.4408,-593.6188,-443.734
54,PLR120,anticipated_b,post,4th,1003,4810,18,1,2108.7783,78.3055,176.2007,242.8544,249.388,288.4521,274.3395,287.0372,295.1641,333.2426,455.1536,524.8395,582.0009,707.4218,907.9075,922.9285,148.8695,-554.5687,-481.7167,-278.8372,-95.6474
