trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window38,window418,window798,window1178,window1558,window1938,window2318,window2698,window3078,window3458,window3838,window4218,window4598,window4978,window5358,window5738,window6118,window6498,window6878,window7258
15,PLR127,anticipated_w,1,pre,1st,1002,4808,5,0,1612.5668,1604.073,1616.5619,1640.1034,1645.6161,1558.5576,1879.1449,1880.4379,2116.2521,2298.019,2400.2241,2296.3684,1220.3646,943.7197,944.3725,844.0971,926.8878,1149.7555,1160.0653,1395.4373,1599.2432
16,PLR127,anticipated_w,1,pre,2nd,1002,4810,6,0,2330.9321,2350.8572,2321.5511,2051.1231,1817.7255,1661.0816,1546.6039,1687.151,1777.7423,1961.9978,2100.5481,1875.3586,1022.4057,939.7649,1128.5012,1155.3138,1300.7443,1412.363,1529.0286,1605.6737,1710.2932
17,PLR127,anticipated_b,0,pre,2nd,1003,4812,8,0,2124.887,2138.9791,2118.5879,1963.8421,1882.5679,1754.7658,1716.7378,1698.752,1539.8622,1539.2484,1771.6995,1855.2583,2061.7218,2316.5598,2628.7772,2535.1867,1254.4578,1044.1033,1292.0972,1214.47,1071.8018
18,PLR127,anticipated_w,1,pre,2nd,1002,4810,7,0,1628.3725,1704.9714,1564.6017,1419.9459,1426.8147,1575.1986,1802.9001,1701.7087,1625.7744,1857.8192,2022.4553,1943.501,1070.041,934.1838,988.2436,1187.3383,1361.6127,1413.8958,1423.2047,1423.6306,1429.1216
19,PLR127,anticipated_w,1,pre,2nd,1002,4810,8,0,2198.4865,2170.4376,2233.091,2088.3971,2198.3633,2137.329,1934.1399,1851.5928,1936.4794,1841.3177,1630.861,1557.2709,966.3722,876.9516,1040.0154,1279.8047,1527.081,1641.0728,1688.5982,1757.1623,1895.0779
20,PLR127,unexpected_b,0,pre,1st,1003,4810,4,0,2008.9749,1903.4796,2111.1908,2217.4081,2433.9192,2414.5191,2423.1626,2482.5987,2511.1299,2624.3855,2836.1422,2924.4508,2823.1421,2998.5116,3277.565,3210.8367,1751.2209,1329.8082,1570.8681,1883.7287,1988.4852
21,PLR127,anticipated_b,0,pre,2nd,1002,4808,9,1,2185.3516,2179.839,2196.7022,2098.2744,2073.5763,1972.4901,2088.1792,2096.7918,2222.5476,2337.2571,2336.0641,2425.144,2584.2128,2880.4409,3241.6184,3342.9161,1873.2555,1276.763,1369.7773,1367.7489,1466.7408
22,PLR127,anticipated_w,1,pre,2nd,1002,4810,9,0,1714.6999,1679.0215,1740.9608,1999.7517,2165.4253,2152.1795,2104.387,2000.4418,1781.7811,1422.0487,1229.669,1190.4057,876.698,881.5157,1098.0559,1306.3517,1596.4053,1821.2163,1956.3575,1989.1414,2108.9114
23,PLR127,anticipated_w,1,pre,2nd,1003,4812,10,0,2163.9648,2109.0092,2225.8715,2229.7148,2301.6641,2265.8207,2325.6132,2384.2708,2368.4326,1950.9076,1417.6128,1199.0428,820.9288,784.0594,908.3967,1086.7235,1318.2522,1570.8789,1658.6227,1752.6842,1822.2458
24,PLR127,anticipated_b,0,pre,2nd,1002,4810,10,0,1997.1719,2055.2814,1946.8355,2000.7816,2306.3188,2354.4315,2272.7837,2316.7203,2234.7967,2028.9897,1806.47,1786.8435,2090.199,2536.2669,2795.7962,2721.717,1491.8213,1360.8545,1714.337,1901.4908,1976.9038
